Rice,Boro rice,Wetland
Rice,T. Aman rice,Wetland
Rice,T. Aus rice,Wetland
Rice,B. Aus rice,Wetland
Rice,Aromatic rice,Wetland
Wheat,Wheat (Irrigated),Upland
Wheat,Wheat (Rainfed),Upland
Maize,Maize (Hybrid maize),Upland
Maize,Maize,Upland
Mustard,Mustard,Upland
Potato,Potato,Upland
Potato,Sweet potato,Upland
